Subject,Method,Class,f1_score,support
sub2b,GR,Clean-table,0.6347702510658456,1441
sub2b,GR,Nothing,0.938753732338727,46080
sub2b,GR,Pick-up-backpack,0.6415094339622641,1446
sub2b,GR,Push-chair,0.4874294510005131,1446
sub2b,GR,Sit-on-chair,0.3117692907248636,1445
sub2b,GR,Sit-on-couch,0.42474048442906576,1445
sub2b,GR,Sit-on-table,0.26604068857589985,1442
sub2b,GR,Stand-on-couch,0.6602990033222591,1444
sub2b,GR,Wear-backpack,0.6276190476190476,1441
sub2b,BF,Clean-table,0.7058299955496217,1441
sub2b,BF,Nothing,0.95124728288997,46080
sub2b,BF,Pick-up-backpack,0.7349081364829396,1446
sub2b,BF,Push-chair,0.6961325966850829,1446
sub2b,BF,Sit-on-chair,0.5978713558537714,1445
sub2b,BF,Sit-on-couch,0.7660079051383399,1445
sub2b,BF,Sit-on-table,0.7157074859368239,1442
sub2b,BF,Stand-on-couch,0.7792521109770808,1444
sub2b,BF,Wear-backpack,0.7331868131868132,1441
sub2b,E2E,Clean-table,0.7855421686746988,1512
sub2b,E2E,Nothing,0.9359239907527428,36000
sub2b,E2E,Pick-up-backpack,0.5888940737284181,1512
sub2b,E2E,Push-chair,0.8490701001430615,1512
sub2b,E2E,Sit-on-chair,0.5441950678858409,1512
sub2b,E2E,Sit-on-couch,0.6125886524822695,1512
sub2b,E2E,Sit-on-table,0.7717171717171717,1512
sub2b,E2E,Stand-on-couch,0.7870036101083032,1512
sub2b,E2E,Wear-backpack,0.7707432166732207,1512
sub3,GR,Clean-table,0.4786680541103018,1322
sub3,GR,Nothing,0.9468569834480194,42721
sub3,GR,Pick-up-backpack,0.6187481281820905,1323
sub3,GR,Push-chair,0.32954545454545453,1322
sub3,GR,Sit-on-chair,0.40334378265412746,1320
sub3,GR,Sit-on-couch,0.0,1443
sub3,GR,Sit-on-table,0.5019359380499824,1325
sub3,GR,Stand-on-couch,0.6392266916120986,1323
sub3,GR,Wear-backpack,0.6202723146747352,1321
sub3,BF,Clean-table,0.6575609756097561,1322
sub3,BF,Nothing,0.9504840040440193,42721
sub3,BF,Pick-up-backpack,0.7472214306070105,1323
sub3,BF,Push-chair,0.7496665184526456,1322
sub3,BF,Sit-on-chair,0.8355814801312431,1320
sub3,BF,Sit-on-couch,0.5488752556237219,1443
sub3,BF,Sit-on-table,0.7964669738863287,1325
sub3,BF,Stand-on-couch,0.8434782608695652,1323
sub3,BF,Wear-backpack,0.7722995859992473,1321
sub3,E2E,Clean-table,0.7040673211781207,1386
sub3,E2E,Nothing,0.9503024621739194,33375
sub3,E2E,Pick-up-backpack,0.8104442183791115,1386
sub3,E2E,Push-chair,0.7315140845070423,1386
sub3,E2E,Sit-on-chair,0.7114481762369086,1386
sub3,E2E,Sit-on-couch,0.612012987012987,1512
sub3,E2E,Sit-on-table,0.8544914625092799,1386
sub3,E2E,Stand-on-couch,0.8408807644370586,1386
sub3,E2E,Wear-backpack,0.5871652349671551,1386
sub4,GR,Clean-table,0.8737864077669902,3967
sub4,GR,Nothing,0.9606418106753873,127351
